79.102.172.69 - - [07/Aug/2023:10:28:36 +0000] "GET / HTTP/1.1" 200 11230
171.76.82.168 - - [07/Aug/2023:10:30:54 +0000] "GET / HTTP/1.1" 200 11230
171.76.82.168 - - [07/Aug/2023:10:30:54 +0000] "GET /tomcat.svg HTTP/1.1" 200 67795
171.76.82.168 - - [07/Aug/2023:10:30:54 +0000] "GET /tomcat.css HTTP/1.1" 200 5542
171.76.82.168 - - [07/Aug/2023:10:30:54 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
171.76.82.168 - - [07/Aug/2023:10:30:54 +0000] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
171.76.82.168 - - [07/Aug/2023:10:30:54 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
171.76.82.168 - - [07/Aug/2023:10:30:54 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
171.76.82.168 - - [07/Aug/2023:10:30:54 +0000] "GET /bg-button.png HTTP/1.1" 200 713
171.76.82.168 - - [07/Aug/2023:10:30:55 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
171.76.82.168 - - [07/Aug/2023:10:31:00 +0000] "GET /manager/html HTTP/1.1" 403 3446
171.76.82.168 - - [07/Aug/2023:10:33:32 +0000] "GET / HTTP/1.1" 200 11230
171.76.82.168 - - [07/Aug/2023:10:33:32 +0000] "GET /tomcat.svg HTTP/1.1" 304 -
171.76.82.168 - - [07/Aug/2023:10:33:32 +0000] "GET /tomcat.css HTTP/1.1" 304 -
171.76.82.168 - - [07/Aug/2023:10:33:33 +0000] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
171.76.82.168 - - [07/Aug/2023:10:33:33 +0000] "GET /bg-nav.png HTTP/1.1" 304 -
171.76.82.168 - - [07/Aug/2023:10:33:33 +0000] "GET /favicon.ico HTTP/1.1" 304 -
171.76.82.168 - - [07/Aug/2023:10:33:33 +0000] "GET /bg-upper.png HTTP/1.1" 304 -
171.76.82.168 - - [07/Aug/2023:10:33:33 +0000] "GET /bg-button.png HTTP/1.1" 304 -
171.76.82.168 - - [07/Aug/2023:10:33:33 +0000] "GET /bg-middle.png HTTP/1.1" 304 -
171.76.82.168 - - [07/Aug/2023:10:33:34 +0000] "GET /manager/html HTTP/1.1" 403 3446
171.76.82.168 - - [07/Aug/2023:10:37:15 +0000] "GET / HTTP/1.1" 200 11230
171.76.82.168 - - [07/Aug/2023:10:37:15 +0000] "GET /tomcat.css HTTP/1.1" 304 -
171.76.82.168 - - [07/Aug/2023:10:37:15 +0000] "GET /tomcat.svg HTTP/1.1" 304 -
171.76.82.168 - - [07/Aug/2023:10:37:15 +0000] "GET /bg-nav.png HTTP/1.1" 304 -
171.76.82.168 - - [07/Aug/2023:10:37:15 +0000] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
171.76.82.168 - - [07/Aug/2023:10:37:15 +0000] "GET /bg-upper.png HTTP/1.1" 304 -
171.76.82.168 - - [07/Aug/2023:10:37:15 +0000] "GET /bg-button.png HTTP/1.1" 304 -
171.76.82.168 - - [07/Aug/2023:10:37:15 +0000] "GET /bg-middle.png HTTP/1.1" 304 -
171.76.82.168 - - [07/Aug/2023:10:37:16 +0000] "GET /favicon.ico HTTP/1.1" 304 -
171.76.82.168 - - [07/Aug/2023:10:37:17 +0000] "GET /manager/html HTTP/1.1" 401 2499
171.76.82.168 - tomcat [07/Aug/2023:10:37:28 +0000] "GET /manager/html HTTP/1.1" 200 17794
171.76.82.168 - - [07/Aug/2023:10:37:28 +0000] "GET /manager/images/tomcat.svg HTTP/1.1" 200 67795
171.76.82.168 - - [07/Aug/2023:10:37:28 +0000] "GET /manager/css/manager.css HTTP/1.1" 200 2806
171.76.82.168 - - [07/Aug/2023:10:37:28 +0000] "GET /manager/images/asf-logo.svg HTTP/1.1" 200 20486
171.76.82.168 - - [07/Aug/2023:10:41:44 +0000] "GET /posh-technologies HTTP/1.1" 302 -
171.76.82.168 - - [07/Aug/2023:10:41:44 +0000] "GET /posh-technologies/ HTTP/1.1" 200 1147
